G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,name,MVP Awards,1st Team,2nd Team,3rd Team,All-NBA Teams,All Star Selections,isHOF
325,10.675,0.51575,0.39262499999999995,6.6,17.7625,2.0125,0.525,24.24813731998774,18.775811481670047,9.2,-3.7375,0.225,1009,2293,0.441125,155.5052570402071,445.23136260368784,0.24879631551634923,753,926,541.9398320183252,8.526153846153846,3.0246153846153847,2.3415384615384616,0.963076923076923,0.3046153846153846,Al Skinner,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,11.95,0.522125,0.32112500000000005,8.725,7.1125,1.2,1.15,11.65,19.799999999999997,10.000000000000002,-3.75,-0.5499999999999999,1893,4136,0.46575,93.0,323.0,0.24537499999999998,976,1307,590.0,10.984162895927602,3.936651583710407,1.1425339366515836,0.5995475113122172,0.4502262443438914,Al Thornton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,13.0,0.515125,0.301,10.16805838857728,5.3374999999999995,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,11.6,-2.326720200028834,0.5598788286771946,1503,3292,0.47275,177.7202937602367,508.83584297564323,0.24879631551634923,667,956,591.5186561466022,9.13681592039801,4.696517412935323,0.8507462686567164,0.7939711932236687,0.48697035091886814,Al Tucker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,13.225,0.5043749999999999,0.29462499999999997,7.925000000000001,9.925,1.55,0.8,11.187500000000002,22.5625,16.1,-2.675,0.012499999999999983,2159,4635,0.44987499999999997,43.0,214.0,0.17024999999999998,995,1262,640.0,11.518279569892472,3.0021505376344084,1.7204301075268817,0.7333333333333333,0.36129032258064514,Al Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,12.214285714285712,0.5082857142857142,0.28728571428571426,13.357142857142858,7.514285714285714,2.085714285714286,2.0571428571428574,15.442857142857145,15.700000000000001,17.499999999999996,-0.38571428571428573,0.7428571428571429,1398,3281,0.42499999999999993,305.0,942.0,0.29128571428571426,665,917,667.0,7.242307692307692,5.6692307692307695,1.228846153846154,0.95,0.5903846153846154,Al-Farouq Aminu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,9.833333333333332,0.4758888888888889,0.24399999999999997,14.766666666666664,4.244444444444444,1.0444444444444445,1.388888888888889,17.533333333333335,22.433333333333334,7.1,-7.888888888888889,-0.4,983,1940,0.4493333333333333,0.0,6.0,0.13822017528686067,333,472,389.0,5.9714285714285715,3.3688311688311687,0.3246753246753247,0.2883116883116883,0.2779220779220779,Alaa Abdelnaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,9.5125,0.5203749999999999,0.23949999999999996,6.2,9.25,1.1625,0.325,11.162500000000001,17.462500000000002,7.2,-2.9375,-0.025,843,2084,0.401875,331.0,963.0,0.339875,404,495,290.0,7.336363636363636,2.1636363636363636,1.1242424242424243,0.5515151515151515,0.09393939393939393,Alan Anderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,9.0,0.4395,0.191,7.65,6.3999999999999995,0.8500000000000001,2.5,13.350000000000001,24.1,0.0,-8.45,-0.3,84,195,0.4145,0.0,5.0,0.1243981577581746,25,39,31.0,3.216666666666667,0.8833333333333333,0.38333333333333336,0.16666666666666666,0.21666666666666667,Alan Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,14.58333333333333,0.5271666666666667,0.43616666666666665,14.25,4.908333333333333,1.3583333333333334,1.7249999999999999,13.033333333333333,17.600000000000005,28.1,-1.8416666666666666,0.08333333333333333,1976,4215,0.49058333333333337,5.0,26.0,0.2162654385054497,1137,1778,717.0,7.8128834355828225,4.983128834355829,0.6088957055214724,0.558282208588957,0.455521472392638,Alan Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,22.080000000000002,0.4736000000000001,0.31379999999999997,25.96,8.940000000000001,1.08,5.02,13.7,28.080000000000002,0.8,-8.2,-0.04,80,165,0.4404,0.0,2.0,0.19903705241307937,28,48,33.0,2.186046511627907,1.6627906976744187,0.19767441860465115,0.1511627906976744,0.7093023255813954,Alan Ogg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
