name,position,years_played,All Star Selections,1st Team,2nd Team,3rd Team,All-NBA Teams,MVP Awards,G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,isHOF
Dave Bing,G,12,7,2.0,1.0,0.0,3.0,0.0,901.0,17.441666666666666,0.5012500000000001,0.3566666666666667,6.474736528981821,24.166666666666668,1.669823329485696,0.9645308291650617,15.228007013243447,19.172617532247003,68.69999999999999,-1.1905867833501529,1.0432626500616968,6962.0,15769.0,0.44125,266.58044064035505,763.253764463465,0.24879631551634918,4403.0,5683.0,1029.3381522015782,20.340732519422865,3.7957824639289677,5.990011098779134,0.8460370335365432,0.28889214310289885,1
Elvin Hayes,F-C,16,12,3.0,3.0,0.0,6.0,0.0,1303.0,17.2875,0.4916874999999999,0.332375,14.74990119836818,7.137499999999999,1.3338339265101942,2.3283200870527114,14.216617939944841,20.441151667515207,120.8,-0.4708500625090105,1.6312121339616228,10976.0,24272.0,0.4524375,249.36540392032546,733.6492840915096,0.21673496691749006,5356.0,7999.0,2023.4584881649275,20.961627014581733,12.493476592478896,1.8403683806600153,0.8161820892536046,1.4530708370440257,1
Neil Johnston,C,8,6,4.0,1.0,0.0,5.0,0.0,516.0,23.1875,0.5222500000000001,0.583,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,92.0,-2.326720200028834,0.5598788286771946,3303.0,7435.0,0.43437499999999996,177.7202937602367,508.83584297564323,0.24879631551634923,3417.0,4447.0,591.5186561466022,19.424418604651162,11.348837209302326,2.4593023255813953,0.6185589528603,0.3793838780414438,1
Earl Monroe,G,13,4,1.0,0.0,0.0,1.0,0.0,989.0,16.513333333333335,0.5104000000000001,0.2886,5.3365085840557605,17.046666666666667,1.5857432345773985,0.9656662819032944,14.11474551458822,19.925193482688297,79.99999999999999,-1.680917440015378,0.765268708627837,7193.0,15560.0,0.4592,311.0105140804143,890.4627252073759,0.24879631551634915,3817.0,4737.0,1192.2779842199034,18.40546006066734,2.928210313447927,3.777553083923155,0.8009872797531999,0.3202852184725834,1
Dave Cowens,C-F,13,8,0.0,3.0,0.0,3.0,1.0,766.0,16.672727272727272,0.49518181818181817,0.2084545454545455,16.890909090909094,13.736363636363636,1.4404368813179877,1.293806621427821,14.063244538119415,18.74958572486569,86.3,1.4836217636285,2.5345124078210532,5744.0,12499.0,0.45836363636363636,200.9353304802663,586.4403233475987,0.21110607633155845,2027.0,2590.0,1060.578824128277,17.64490861618799,13.634464751958225,3.7989556135770237,0.9382391088491749,0.7329122459543334,1
Harry Gallatin,F-C,10,7,1.0,1.0,0.0,2.0,0.0,630.0,19.450904757294545,0.5065555555555554,0.6154444444444445,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901938,18.906491853360368,75.49999999999999,-2.326720200028834,0.5598788286771946,2653.0,6578.0,0.4063333333333333,199.9353304802663,572.4403233475987,0.2487963155163492,3103.0,3998.0,665.4584881649275,13.347619047619048,10.966091080503716,1.8174603174603174,0.5699578922784193,0.34957514476675894,1
Connie Hawkins,F-C,9,5,1.0,0.0,0.0,1.0,1.0,578.0,16.311111111111114,0.5275555555555556,0.39188888888888884,10.316578842993941,16.899999999999995,1.7658971399256098,1.2936107904749676,15.085098559901938,18.906491853360368,54.7,-0.5674312000128149,1.0932794794120864,3417.0,7260.0,0.4696666666666666,199.9353304802663,572.4403233475987,0.2487963155163492,2398.0,3062.0,665.4584881649275,15.972318339100346,7.8477508650519034,4.2543252595155705,0.8937512280933518,0.5689983400254195,1
Bob Lanier,C,14,8,0.0,0.0,0.0,0.0,0.0,1022.0,21.012499999999996,0.5659375,0.34993749999999996,14.906249999999998,13.96875,1.5715503559061161,2.139492052231627,14.943480619957098,20.765340185845158,124.60000000000001,2.969989962494594,2.8862272803769744,8227.0,15959.0,0.519875,202.9353304802663,591.4403233475987,0.2753854274779464,4001.0,5212.0,1791.578824128277,20.01761252446184,10.029354207436398,3.1223091976516635,0.9497956530121996,1.2352355972612714,1
Walt Bellamy,C,14,4,0.0,0.0,0.0,0.0,0.0,1290.0,18.804999999999996,0.57295,0.5584,11.571907190209098,9.351494347151418,1.5284417083493587,1.3195618507118088,15.085098559901946,18.906491853360368,155.1,-2.50904818002595,0.5738909458094751,9523.0,18487.0,0.5359499999999999,444.300734400592,1272.0896074391082,0.2487963155163492,6159.0,9768.0,1478.7966403665052,19.53875968992248,13.413178294573644,2.4015503875968993,0.59701313509365,0.3786547925628809,1
Julius Erving,F-G,16,16,5.0,2.0,0.0,7.0,4.0,836.0,21.772727272727273,0.5560909090909092,0.34418181818181814,10.390909090909092,17.60909090909091,2.4363636363636365,2.5,13.68046350544563,25.93695380485094,106.1,4.9818181818181815,4.6909090909090905,7237.0,14276.0,0.5047272727272727,112.64511016008876,366.8134411158662,0.25630808604991345,3844.0,4950.0,2396.9398320183254,21.966507177033492,6.69976076555024,3.8564593301435406,1.8038277511961722,1.5466507177033493,1
Dan Issel,C-F,15,7,0.0,0.0,0.0,0.0,0.0,718.0,20.844444444444445,0.5703333333333335,0.4414444444444444,13.11111111111111,11.577777777777778,1.411111111111111,0.922222222222222,10.698344284433547,23.511832428151152,82.39999999999999,1.6666666666666667,2.4333333333333336,5424.0,10711.0,0.5045555555555556,85.64511016008876,265.8134411158662,0.2753765496165609,3792.0,4756.0,1354.9398320183252,20.41643454038997,7.9484679665738165,2.512534818941504,0.9721448467966574,0.5515320334261838,1
Dick McGuire,G,11,7,0.0,1.0,0.0,1.0,0.0,738.0,14.923467528695538,0.45463636363636356,0.5417272727272727,9.94920958694546,13.009962314342772,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,50.99999999999999,-2.326720200028834,0.5598788286771946,2048.0,5259.0,0.39009090909090904,244.36540392032546,699.6492840915096,0.24879631551634918,1825.0,2836.0,813.3381522015782,8.023035230352303,4.0767444183161805,5.697831978319783,0.5946715136238251,0.3647328746211441,1
Calvin Murphy,G,13,1,0.0,0.0,0.0,0.0,0.0,1002.0,17.669230769230772,0.5326923076923077,0.25946153846153847,3.515384615384615,21.315384615384612,2.0726773611152205,0.4255286796696946,12.730437686101045,21.895803305655583,84.10000000000001,-0.4600123538528077,1.3907412681562756,7247.0,15030.0,0.47792307692307695,209.9353304802663,644.4403233475987,0.22024360304978025,3445.0,3864.0,1339.578824128277,17.91317365269461,2.0988023952095807,4.393213572854291,1.2821269035713254,0.1241624554900393,1
Bill Walton,C-F,13,2,1.0,1.0,0.0,2.0,1.0,468.0,18.57,0.5391999999999999,0.3741,19.29,16.22,1.21,4.5,19.89552956797058,20.171947556008114,39.3,3.0800000000000005,2.1399999999999997,2552.0,4900.0,0.5089,88.86014688011835,258.4179214878217,0.1990370524130794,1111.0,1683.0,1086.8194960549758,13.27991452991453,10.51923076923077,3.3974358974358974,0.811965811965812,2.2094017094017095,1
